Label,Area,forme,taille,texture,qualite
2021052109+AF8-down.jpg,0,NA,NA,NA,NA
2021052110+AF8-down.jpg,0,NA,NA,NA,NA
2021052111+AF8-down.jpg,0,NA,NA,NA,NA
2021052112+AF8-down.jpg,0,NA,NA,NA,NA
2021052113+AF8-down.jpg,0,NA,NA,NA,NA
2021052114+AF8-down.jpg,0,NA,NA,NA,NA
2021052115+AF8-down.jpg,0,NA,NA,NA,NA
2021052116+AF8-down.jpg,128395.22,rectangulaire,restreint,sec,ok
2021052801+AF8-down.jpg,0,NA,NA,NA,NA
2021052802+AF8-down.jpg,0,NA,NA,NA,NA
2021052803+AF8-down.jpg,283014.421,rectangulaire,restreint,sec,ok
2021052804+AF8-down.jpg,0,NA,NA,NA,NA
2021052805+AF8-down.jpg,0,NA,NA,NA,NA
2021052806+AF8-down.jpg,0,NA,NA,NA,NA
2021052807+AF8-down.jpg,101362.2,rectangulaire,restreint,sec,imprecis
2021052808+AF8-down.jpg,372008.573,rectangulaire,restreint,sec,imprecis
2021052809+AF8-down.jpg,224340.586,rectangulaire,restreint,sec,imprecis
2021052810+AF8-down.jpg,369832.54,rectangulaire,restreint,sec,imprecis
2021060301+AF8-down.jpg,131426.786,rectangulaire,frangmente,sec,imprecis
2021060302+AF8-down.jpg,0,NA,NA,NA,NA
2021060303+AF8-down.jpg,101822.514,rectangulaire,frangmente,sec,imprecis
2021060901+AF8-down.jpg,35820.843,rectangulaire,restreint,sec,ok
2021060902+AF8-down.jpg,0,NA,NA,NA,NA
2021060903+AF8-down.jpg,190709.724,rectangulaire,restreint,sec,ok
2021060904+AF8-down.jpg,307234.407,rectangulaire,restreint,sec,ok
2021060905+AF8-down.jpg,57013.913,rectangulaire,frangmente,sec,ok
2021060906+AF8-down.jpg,0,NA,NA,NA,NA
2021060907+AF8-down.jpg,163778.997,rectangulaire,frangmente,sec,ok
2021060908+AF8-down.jpg,159426.932,rectangulaire,frangmente,sec,ok
2021060909+AF8-down.jpg,68335.791,michelin,frangmente,sec,ok
2021060910+AF8-down.jpg,170920.847,michelin,frangmente,sec,ok
2021060911+AF8-down.jpg,634371.226,rectangulaire,restreint,sec,ok
2021060912+AF8-down.jpg,0,NA,NA,NA,NA
2021060913+AF8-down.jpg,0,NA,NA,NA,NA
2021060914+AF8-down.jpg,0,NA,NA,NA,NA
2021060915+AF8-down.jpg,0,NA,NA,NA,NA
2021060916+AF8-down.jpg,0,NA,NA,NA,NA
2021060917+AF8-down.jpg,0,NA,NA,NA,NA
2021060918+AF8-down.jpg,353327.383,rectangulaire,restreint,sec,doute
2021060919+AF8-down.jpg,414212.654,rectangulaire,restreint,sec,ok
2021060920+AF8-down.jpg,0,NA,NA,NA,NA
2021060921+AF8-down.jpg,0,NA,NA,NA,NA
2021060922+AF8-down.jpg,0,NA,NA,NA,NA
2021062202+AF8-down.jpg,721625.624,rectangulaire,restreint,sec,ok
2021062203+AF8-down.jpg,696844.316,rectangulaire,restreint,sec,ok
2021062204+AF8-down.jpg,616943.03,rectangulaire,restreint,sec,ok
2021062205+AF8-down.jpg,1364408.506,rectangulaire,restreint,sec,ok
2021062206+AF8-down.jpg,868045.156,rectangulaire,restreint,sec,ok
2021062207+AF8-down.jpg,561898.661,rectangulaire,frangmente,sec,ok
2021062208+AF8-down.jpg,619721.712,rectangulaire,frangmente,sec,ok
2021070101+AF8-down.jpg,361096.351,rectangulaire,frangmente,sec,ok
2021070102+AF8-down.jpg,371927.54,rectangulaire,frangmente,sec,ok
2021070103+AF8-down.jpg,695218.693,rectangulaire,frangmente,sec,ok
2021070104+AF8-down.jpg,1015863.481,rectangulaire,frangmente,sec,imprecis
2021070105+AF8-down.jpg,898875.295,rectangulaire,frangmente,sec,imprecis
2021070106+AF8-down.jpg,3184842.216,rectangulaire,restreint,sec,imprecis
2021070107+AF8-down.jpg,1995604.096,intermediaire,restreint,sec,ok
2021070108+AF8-down.jpg,2497524.81,rectangulaire,restreint,sec,ok
2021111801+AF8-glue.jpg,889802.048,rectangulaire,restreint,sec,ok
2021111802+AF8-glue.jpg,1325393.542,rectangulaire,restreint,sec,ok
2021111803+AF8-glue.jpg,0,rectangulaire,long,sec,ok
2021111804+AF8-glue.jpg,188156.472,rectangulaire,frangmente,sec,doute
2021111805+AF8-glue.jpg,1006242.058,rectangulaire,restreint,sec,ok
2021111806+AF8-glue.jpg,22021.528,rectangulaire,restreint,sec,doute
2021111807+AF8-glue.jpg,54552.901,rectangulaire,restreint,sec,doute
2021111808+AF8-glue.jpg,845664.479,rectangulaire,restreint,humide,ok
2021111809+AF8-glue.jpg,1330346.023,rectangulaire,restreint,sec,ok
2021112401+AF8-down.jpg,497384.09,rectangulaire,restreint,sec,ok
2021112402+AF8-down.jpg,720737.201,rectangulaire,restreint,sec,ok
2021112403+AF8-down.jpg,1055067.472,rectangulaire,frangmente,sec,doute
2021112404+AF8-down.jpg,1037072.197,rectangulaire,restreint,humide,ok
2021112405+AF8-down.jpg,932956.682,rectangulaire,restreint,humide,ok
2021112406+AF8-down.jpg,589609.871,rectangulaire,restreint,sec,ok
2021112407+AF8-down.jpg,1120583.88,rectangulaire,restreint,sec,ok
2021112408+AF8-down.jpg,708488.317,intermediaire,restreint,sec,imprecis
2021112409+AF8-down.jpg,1010514.046,rectangulaire,restreint,sec,imprecis
2021112410+AF8-down.jpg,1136915.726,rectangulaire,restreint,humide,ok
2021112411+AF8-down.jpg,841676.03,rectangulaire,restreint,sec,imprecis
2021112412+AF8-down.jpg,904281.439,rectangulaire,restreint,sec,ok
2021112413+AF8-down.jpg,811469.677,rectangulaire,restreint,humide,ok
2021112414+AF8-down.jpg,504094.513,rectangulaire,frangmente,sec,imprecis
2021112415+AF8-down.jpg,984995.537,rectangulaire,restreint,humide,ok
2021112416+AF8-down.jpg,910651.615,rectangulaire,restreint,humide,ok
2021112417+AF8-down.jpg,1023462.326,rectangulaire,restreint,humide,ok
2021112418+AF8-down.jpg,986885.797,rectangulaire,restreint,sec,ok
2021112419+AF8-down.jpg,0,rectangulaire,restreint,sec,ok
2021112420+AF8-down.jpg,858177.999,rectangulaire,restreint,humide,ok
2021112421+AF8-down.jpg,1555570.491,intermediaire,long,sec,ok
2021112422+AF8-down.jpg,1838410.081,rectangulaire,long,sec,ok
2021112423+AF8-down.jpg,265921.764,rectangulaire,frangmente,sec,doute
2021112424+AF8-down.jpg,1309061.696,intermediaire,long,sec,ok
2021112425+AF8-down.jpg,1090925.702,rectangulaire,long,sec,ok
2021120101+AF8-down.jpg,1232014.702,rectangulaire,restreint,sec,ok
2021120102+AF8-down.jpg,2454691.52,rectangulaire,long,humide,ok
2021120103+AF8-down.jpg,1845687.582,rectangulaire,long,humide,ok
2021120104+AF8-down.jpg,1680346.548,intermediaire,long,humide,ok
2021120105+AF8-down.jpg,1487275.4,intermediaire,long,humide,ok
2021120106+AF8-down.jpg,1354635.862,intermediaire,long,humide,ok
2021120107+AF8-down.jpg,1668986.086,intermediaire,long,humide,ok
2021120108+AF8-down.jpg,1514381.727,intermediaire,long,humide,ok
2021120109+AF8-down.jpg,1386959.307,rectangulaire,long,humide,ok
2021120110+AF8-down.jpg,1987457.075,rectangulaire,long,humide,ok
2021120111+AF8-down.jpg,1427202.94,intermediaire,long,sec,ok
2021120112+AF8-down.jpg,1729871.357,rectangulaire,long,humide,ok
2021120113+AF8-down.jpg,1462872.145,rectangulaire,long,humide,ok
2021120114+AF8-down.jpg,1410833.29,intermediaire,long,sec,ok
2021120115+AF8-down.jpg,1728510.37,rectangulaire,long,humide,ok
2021120116+AF8-down.jpg,1566552.901,rectangulaire,long,humide,ok
2021120117+AF8-down.jpg,1078015.227,intermediaire,long,sec,ok
2021120118+AF8-down.jpg,1551550.095,intermediaire,long,humide,ok
2021120119+AF8-down.jpg,2090945.18,rectangulaire,long,humide,ok
2021120120+AF8-down.jpg,1299206.049,intermediaire,long,humide,ok
2021120121+AF8-down.jpg,1522967.864,rectangulaire,long,humide,ok
2021120122+AF8-down.jpg,1796465.028,rectangulaire,long,humide,ok
2021120123+AF8-down.jpg,2013534.972,rectangulaire,long,humide,ok
2021120124+AF8-down.jpg,1320245.747,michelin,long,humide,ok
2021120125+AF8-down.jpg,1410037.807,intermediaire,long,humide,ok
2021120126+AF8-down.jpg,1528771.267,intermediaire,long,humide,ok
2021120127+AF8-down.jpg,1603931.947,intermediaire,long,humide,ok
2021120128+AF8-down.jpg,1826918.715,intermediaire,long,humide,ok
2021120129+AF8-down.jpg,1267769.376,intermediaire,long,humide,ok
2021120201+AF8-down.jpg,1150586.011,rectangulaire,long,humide,ok
2021120202+AF8-down.jpg,1111474.48,rectangulaire,long,humide,ok
2021120203+AF8-down.jpg,1202098.299,rectangulaire,long,humide,ok
2021120204+AF8-down.jpg,623648.393,rectangulaire,restreint,humide,ok
2021120205+AF8-down.jpg,937561.437,rectangulaire,long,humide,ok
2021120206+AF8-down.jpg,859054.82,rectangulaire,long,humide,ok
2021120207+AF8-down.jpg,1408317.58,rectangulaire,long,sec,ok
2021120301+AF8-down.tif,1046843.1,rectangulaire,long,humide,ok
2021120302+AF8-down.tif,929924.386,rectangulaire,long,humide,ok
2021120303+AF8-down.tif,1528865.784,rectangulaire,long,humide,ok
2021120304+AF8-down.tif,1062117.202,rectangulaire,long,humide,ok
2021120305+AF8-down.tif,1153931.947,rectangulaire,long,humide,ok
2021120306+AF8-down.tif,869603.025,rectangulaire,long,humide,ok
2021120307+AF8-down.tif,1131096.408,rectangulaire,long,humide,ok
2021120308+AF8-down.tif,1080472.59,rectangulaire,long,humide,ok
2021120309+AF8-down.tif,1114196.597,rectangulaire,long,humide,ok
2021120310+AF8-down.tif,1162835.539,rectangulaire,long,humide,ok
2021120311+AF8-down.tif,991474.48,rectangulaire,long,humide,ok
2021120312+AF8-down.tif,900378.072,rectangulaire,long,humide,ok
2021120313+AF8-down.tif,1286918.715,rectangulaire,long,humide,ok
2021120314+AF8-down.tif,1063459.357,rectangulaire,long,humide,ok
2021120315+AF8-down.tif,1054423.44,rectangulaire,long,humide,ok
2021120316+AF8-down.tif,973194.707,rectangulaire,long,humide,ok
2021120317+AF8-down.tif,653043.478,intermediaire,long,humide,ok
2021120318+AF8-down.tif,695141.777,intermediaire,long,humide,ok
2021120319+AF8-down.tif,1030113.422,rectangulaire,long,humide,ok
2021120320+AF8-down.tif,1136030.246,rectangulaire,long,humide,ok
2021120321+AF8-down.tif,1064291.115,rectangulaire,long,humide,ok
2021120322+AF8-down.tif,1057863.894,rectangulaire,long,humide,ok
2021120801+AF8-down.jpg,343062.382,michelin,restreint,sec,ok
2021120802+AF8-down.jpg,801153.119,rectangulaire,long,humide,ok
2021120803+AF8-down.jpg,1148071.834,michelin,long,humide,ok
2021120804+AF8-down.jpg,1129111.531,rectangulaire,long,humide,imprecis
2021120805+AF8-down.jpg,496408.318,intermediaire,restreint,humide,ok
2021120806+AF8-down.jpg,770075.614,intermediaire,restreint,humide,ok
2021120807+AF8-down.jpg,0,NA,NA,NA,NA
2021120809+AF8-down.jpg,974612.476,rectangulaire,restreint,humide,ok
2021120901+AF8-down.jpg,0,NA,NA,NA,NA
2021120903+AF8-down.jpg,0,NA,NA,NA,NA
2021120904+AF8-down.jpg,2893251.418,michelin,long,sec,doute
2021120905+AF8-down.jpg,704669.187,michelin,long,sec,doute
2021120906+AF8-down.jpg,1047882.798,intermediaire,long,sec,ok
2021120907+AF8-down.jpg,803289.225,intermediaire,long,sec,ok
2021120908+AF8-down.jpg,1927580.34,intermediaire,long,humide,ok
2021120909+AF8-down.jpg,2020793.951,intermediaire,long,humide,ok
2021120910+AF8-down.jpg,2079848.771,intermediaire,long,humide,ok
2021120911+AF8-down.jpg,1681115.312,intermediaire,long,humide,ok
2021120912+AF8-down.jpg,1581266.541,intermediaire,long,humide,ok
2021120913+AF8-down.jpg,1234839.319,michelin,long,sec,ok
2021120914+AF8-down.jpg,1582703.214,intermediaire,long,humide,ok
2021120915+AF8-down.jpg,2049451.796,intermediaire,long,humide,ok
2021120916+AF8-down.jpg,1780548.204,intermediaire,long,humide,ok
2021120917+AF8-down.jpg,1831285.444,intermediaire,long,humide,ok
2021120918+AF8-down.jpg,1940812.854,intermediaire,long,humide,ok
2021120919+AF8-down.jpg,2221701.323,intermediaire,long,humide,ok
2021121401+AF8-down.jpg,1020.794,NA,NA,NA,NA
2021121402+AF8-down.jpg,0,NA,NA,NA,NA
2021121405+AF8-down.jpg,1217618.147,NA,NA,NA,NA
2021121406+AF8-down.jpg,911398.866,NA,NA,NA,NA
2021121502+AF8-down.jpg,1568.998,NA,NA,NA,NA
2021121503+AF8-down.jpg,2608.696,NA,NA,NA,NA
2021121504+AF8-down.jpg,0,NA,NA,NA,NA
2021121505+AF8-down.jpg,1228.733,rectangulaire,long,humide,ok
2021121506+AF8-down.jpg,2797.732,rectangulaire,long,sec,ok
2021121701+AF8-down.jpg,1248846.881,rectangulaire,long,humide,ok
2021121702+AF8-down.jpg,1183648.393,rectangulaire,long,humide,ok
2021121703+AF8-down.jpg,1023497.164,rectangulaire,long,humide,ok
2021121704+AF8-down.jpg,950586.011,rectangulaire,long,humide,ok
2021121707+AF8-down.jpg,698752.363,rectangulaire,long,humide,ok
2021121708+AF8-down.jpg,1366200.378,intermediaire,long,humide,ok
2021121709+AF8-down.jpg,797618.147,intermediaire,long,humide,ok
2021121710+AF8-down.jpg,736181.474,intermediaire,long,humide,ok
2021121711+AF8-down.jpg,984688.091,intermediaire,long,humide,ok
2021121712+AF8-down.jpg,1222325.142,rectangulaire,long,humide,ok
2021121713+AF8-down.jpg,710756.144,intermediaire,long,humide,ok
2021121714+AF8-down.jpg,837958.412,rectangulaire,long,humide,ok
2021121715+AF8-down.jpg,779886.578,rectangulaire,long,humide,ok
2021121716+AF8-down.jpg,1196862.004,intermediaire,long,humide,ok
2021121717+AF8-down.jpg,1142003.781,rectangulaire,long,humide,ok
2021121718+AF8-down.jpg,954725.898,rectangulaire,long,humide,ok
2021121719+AF8-down.jpg,1147882.798,rectangulaire,long,humide,ok
2021121720+AF8-down.jpg,1046313.8,rectangulaire,long,humide,ok
2021121722+AF8-down.jpg,1307523.629,rectangulaire,long,humide,ok
2021121723+AF8-down.jpg,887977.316,rectangulaire,long,humide,ok
2021121724+AF8-down.jpg,1070453.686,rectangulaire,long,humide,ok
2021121725+AF8-down.jpg,959149.338,rectangulaire,long,humide,ok
2021121726+AF8-down.jpg,714480.151,rectangulaire,long,humide,ok
2021121727+AF8-down.jpg,709943.289,rectangulaire,long,humide,ok
2021121728+AF8-down.jpg,1016086.957,rectangulaire,long,humide,ok
2021121729+AF8-down.jpg,1392211.72,rectangulaire,long,humide,ok
2021121730+AF8-down.jpg,1224847.932,rectangulaire,long,humide,ok
2021121731+AF8-down.jpg,1036891.099,rectangulaire,long,humide,ok
2021121732+AF8-down.jpg,1111257.204,rectangulaire,long,humide,ok
2021121733+AF8-down.jpg,999140.944,rectangulaire,long,humide,ok
2021121734+AF8-down.jpg,1035378.825,rectangulaire,long,humide,ok
2021121735+AF8-down.jpg,740523.079,intermediaire,long,humide,ok
2021121736+AF8-down.jpg,732451.313,intermediaire,long,humide,ok
2021121737+AF8-down.jpg,664890.444,intermediaire,long,humide,ok
2021121738+AF8-down.jpg,0,NA,NA,NA,NA
2021121739+AF8-down.jpg,959008.956,rectangulaire,long,humide,ok
2021121740+AF8-down.jpg,973923.765,rectangulaire,long,humide,ok
2021121741+AF8-down.jpg,971920.001,rectangulaire,long,humide,ok
2021121742+AF8-down.jpg,912695.546,rectangulaire,long,humide,ok
2021121743+AF8-down.jpg,1457284.543,rectangulaire,long,humide,ok
2021121744+AF8-down.jpg,1163941.072,rectangulaire,long,humide,ok
2021121745+AF8-down.jpg,1143355.233,rectangulaire,long,humide,ok
2021121746+AF8-down.jpg,1104281.838,rectangulaire,long,humide,ok
2021122101+AF8-down.jpg,815021.508,rectangulaire,restreint,humide,ok
2021122102+AF8-down.jpg,758840.505,rectangulaire,restreint,humide,ok
2021122103+AF8-down.jpg,1514618.655,rectangulaire,long,sec,ok
2021122104+AF8-down.jpg,1238288.273,rectangulaire,long,humide,ok
2021122105+AF8-down.jpg,676516.055,intermediaire,long,humide,ok
2021122106+AF8-down.jpg,1191785.828,rectangulaire,long,humide,ok
2021122107+AF8-down.jpg,682621.864,intermediaire,long,humide,ok
2021122108+AF8-down.jpg,755664.729,intermediaire,long,humide,ok
2021122109+AF8-down.jpg,989670.324,rectangulaire,long,humide,ok
2021122110+AF8-down.jpg,806023.474,rectangulaire,long,sec,ok
2021122112+AF8-down.jpg,0,NA,NA,NA,NA
2021122113+AF8-down.jpg,0,NA,NA,NA,NA
2022011201+AF8-down.jpg,1339421.639,rectangulaire,long,humide,ok
2022011401+AF8-down.jpg,301320.72,intermediaire,restreint,sec,ok
2022011402+AF8-down.jpg,0,NA,NA,NA,NA
2022011403+AF8-down.jpg,96161.763,michelin,frangmente,sec,ok
2022011404+AF8-down.jpg,0,NA,NA,NA,NA
2022011406+AF8-down.jpg,0,NA,NA,NA,NA
2022011407+AF8-down.jpg,0,NA,NA,NA,NA
2022011408+AF8-down.jpg,81398.182,michelin,frangmente,sec,ok
2022011409+AF8-down.jpg,0,NA,NA,NA,NA
2022011410+AF8-down.jpg,0,NA,NA,NA,NA
2022011411+AF8-down.jpg,0,NA,NA,NA,NA
2022011412+AF8-down.jpg,1016721.137,intermediaire,long,humide,ok
2022011413+AF8-down.jpg,1468569.892,rectangulaire,long,humide,ok
2022011414+AF8-down.jpg,1489949.675,rectangulaire,long,humide,ok
2022011415+AF8-down.jpg,1394014.753,rectangulaire,long,humide,ok
2022011416+AF8-down.jpg,970294.305,rectangulaire,long,humide,ok
2022011417+AF8-down.jpg,658784.635,rectangulaire,restreint,humide,ok
2022011418+AF8-down.jpg,1357739.065,rectangulaire,long,humide,ok
2022011419+AF8-down.jpg,868631.644,rectangulaire,long,humide,ok
2022011420+AF8-down.jpg,0,NA,NA,NA,NA
2022011421+AF8-down.jpg,995227.933,rectangulaire,long,humide,ok
2022011422+AF8-down.jpg,1028762.623,rectangulaire,long,humide,ok
2022011423+AF8-down.jpg,671903.618,rectangulaire,long,sec,ok
2022011424+AF8-down.jpg,939519.517,rectangulaire,long,sec,ok
2022011425+AF8-down.jpg,1008195.688,intermediaire,long,humide,ok
2022011426+AF8-down.jpg,1208118.394,intermediaire,long,humide,ok
2022011427+AF8-down.jpg,1081068.422,intermediaire,long,sec,ok
2022011428+AF8-down.jpg,1134943.206,intermediaire,long,humide,ok
2022011429+AF8-down.jpg,0,NA,NA,NA,NA
2022011430+AF8-down.jpg,1049386.269,intermediaire,long,humide,ok
2022011431+AF8-down.jpg,1083922.84,intermediaire,long,humide,ok
2022012101+AF8-down.tif,199317.796,intermediaire,restreint,humide,ok
2022012102+AF8-down.tif,211983.096,michelin,restreint,sec,ok
2022012103+AF8-down.tif,748216.776,rectangulaire,long,sec,ok
2022012104+AF8-down.tif,299449.28,intermediaire,restreint,sec,ok
2022012105+AF8-down.tif,0,NA,NA,NA,NA
2022012106+AF8-down.tif,112607.75,rectangulaire,restreint,sec,ok
2022012107+AF8-down.tif,0,NA,NA,NA,NA
2022012108+AF8-down.tif,135594.324,intermediaire,restreint,sec,ok
2022012109+AF8-down.tif,226614.353,intermediaire,restreint,sec,ok
2022012110+AF8-down.tif,136728.53,intermediaire,restreint,sec,ok
2022012111+AF8-down.tif,634550.434,rectangulaire,restreint,sec,ok
2022012112+AF8-down.tif,872147.682,rectangulaire,long,sec,doute
2022012113+AF8-down.tif,648047.485,intermediaire,long,humide,ok
2022012114+AF8-down.tif,203608.875,intermediaire,frangmente,sec,ok
2022012115+AF8-down.tif,582698.318,intermediaire,long,humide,ok
2022012116+AF8-down.tif,0,NA,NA,NA,NA
2022012701+AF8-down.jpg,1122372.423,intermediaire,long,humide,ok
2022012702+AF8-down.jpg,1142296.641,intermediaire,long,sec,ok
2022012703+AF8-down.jpg,1336945.289,intermediaire,long,humide,ok
2022012704+AF8-down.jpg,799879.858,intermediaire,long,sec,ok
2022012705+AF8-down.jpg,1077930.452,intermediaire,long,humide,ok
2022012706+AF8-down.jpg,0,NA,NA,NA,NA
2022012707+AF8-down.jpg,0,NA,NA,NA,NA
2022012708+AF8-down.jpg,912166.249,intermediaire,long,humide,ok
2022012709+AF8-down.jpg,716269.975,rectangulaire,long,sec,ok
2022012710+AF8-down.jpg,1077.496,rectangulaire,long,sec,ok
2022012711+AF8-down.jpg,1444335.691,rectangulaire,long,sec,doute
2022012712+AF8-down.jpg,604323.845,rectangulaire,long,sec,ok
2022012713+AF8-down.jpg,1369478.097,intermediaire,long,sec,ok
2022012714+AF8-down.jpg,0,NA,NA,NA,NA
2022012715+AF8-down.jpg,0,NA,NA,NA,NA
2022012716+AF8-down.jpg,0,NA,NA,NA,NA
2022012717+AF8-down.jpg,226330.802,rectangulaire,restreint,humide,ok
2022012718+AF8-down.jpg,244515.904,rectangulaire,restreint,sec,ok
2022012719+AF8-down.jpg,194932.2,intermediaire,restreint,humide,ok
2022012720+AF8-down.jpg,2578163.595,intermediaire,long,sec,doute
2022012721+AF8-down.jpg,2346294.087,intermediaire,long,sec,doute
2022012722+AF8-down.jpg,2241587.972,rectangulaire,long,sec,doute
2022012723+AF8-down.jpg,2959332.415,rectangulaire,long,sec,doute
2022012724+AF8-down.jpg,2190813.352,intermediaire,long,sec,ok
2022012725+AF8-down.jpg,1918547.208,intermediaire,long,sec,ok
2022012726+AF8-down.jpg,466158.654,rectangulaire,restreint,humide,ok
2022012727+AF8-down.jpg,615911.65,rectangulaire,restreint,humide,ok
2022012728+AF8-down.jpg,472018.719,rectangulaire,restreint,humide,ok
2022012729+AF8-down.jpg,423039.924,intermediaire,long,humide,ok
2022012730+AF8-down.jpg,610902.24,intermediaire,restreint,humide,ok
2022012801+AF8-down.jpg,1008403.626,rectangulaire,restreint,humide,ok
2022012802+AF8-down.jpg,348390.268,rectangulaire,restreint,sec,ok
2022012803+AF8-down.jpg,594966.646,rectangulaire,restreint,sec,ok
2022012804+AF8-down.jpg,878158.974,rectangulaire,long,humide,ok
2022012805+AF8-down.jpg,630713.037,intermediaire,long,sec,ok
2022012806+AF8-down.jpg,735003.277,intermediaire,long,sec,ok
2022012807+AF8-down.jpg,444098.348,intermediaire,restreint,sec,ok
2022012808+AF8-down.jpg,454476.333,intermediaire,restreint,sec,ok
2022012809+AF8-down.jpg,396820.863,intermediaire,restreint,sec,ok
2022012810+AF8-down.jpg,437141.885,intermediaire,restreint,sec,ok
2022012811+AF8-down.jpg,458294.826,intermediaire,long,sec,ok
2022012812+AF8-down.jpg,752054.173,intermediaire,long,sec,ok
2022012813+AF8-down.jpg,280432.427,intermediaire,restreint,sec,ok
2022012814+AF8-down.jpg,202380.152,intermediaire,restreint,sec,ok
2022012815+AF8-down.jpg,0,NA,NA,NA,NA
2022012816+AF8-down.jpg,0,NA,NA,NA,NA
2022020201+AF8-down.jpg,1647661.015,rectangulaire,long,humide,ok
2022020202+AF8-down.jpg,1084716.785,intermediaire,long,sec,ok
2022020203+AF8-down.jpg,206633.425,intermediaire,frangmente,sec,ok
2022020204+AF8-down.jpg,361584.864,intermediaire,restreint,sec,ok
2022020205+AF8-down.jpg,1111994.438,rectangulaire,long,sec,ok
2022020206+AF8-down.jpg,787006.62,rectangulaire,long,sec,ok
